Defensive Line,Linebacker,Offensive Line,Quarterback,Running Back,Secondary,Special Teams,Tight End,Wide Receiver,Year,Team,Wins,Active Contracts,Salary Cap,Dead Cap,Injured Reserve
38906750,12991134,12230451,17031668,6083370,8492995,1572428,4527706,18151227,2014,Detroit Lions,11,120697729,133000000,9379143,1226444
24158406,9132361,9359020,18386250,5193409,11516147,2727575,3472223,25365800,2015,Detroit Lions,7,109792280,143280000,21236686,12186828
15155335,12373173,17531329,23338820,1174430,19214749,5070075,4485971,17197940,2016,Detroit Lions,9,116112911,155270000,24654669,8951089
19839954,11998382,16608736,17040000,5175764,26903787,9245000,5520004,17858897,2017,Detroit Lions,9,130190524,167000000,10914815,19975680
6650881,12759404,15598154,27220000,6652941,26281424,6845000,4126176,3441705,2018,Detroit Lions,6,109575685,177200000,24645116,41275765
17234211,18963800,17540972,12205588,1957465,18796356,4276250,2734635,9321709,2013,Green Bay Packers,8,105630986,123000000,3119288,11988579
12378859,29396955,18491243,19273750,2800378,26722857,5476250,2464445,9003331,2014,Green Bay Packers,12,127059943,133000000,5477890,838059
23220914,22351365,20877161,19940908,2890644,21448689,4941176,1466625,12310038,2015,Green Bay Packers,10,130544119,143280000,5436397,5849121
26569911,21666079,20902373,19910318,3221327,14474525,3525000,3489004,19907088,2016,Green Bay Packers,10,134428984,155270000,4663529,15114512
15124395,21886901,18894817,789144,1605741,17458348,4437254,3725857,31008019,2017,Green Bay Packers,7,115603840,167000000,12069022,40818541
2637451,14870489,31530360,22071928,835909,9848673,6283723,10241666,25670948,2018,Green Bay Packers,6,124176442,177200000,14982444,36526400
16302521,9577813,18267148,11756250,9801307,18493028,2476610,7033223,15018754,2013,Houston Texans,2,109726654,123000000,6812448,7203711
8921768,14824845,21644196,4895062,9244483,20521603,3491610,4412444,19422087,2014,Houston Texans,9,107817768,133000000,20990794,2592250
20468701,21362164,12180191,5898660,2051100,27182376,3503848,5367312,6312693,2015,Houston Texans,9,104856715,143280000,17423845,19626193
7975129,27918084,24488797,14412646,7863431,21665602,3355000,2007162,4920708,2016,Houston Texans,9,115226229,155270000,8653110,28063566
2723872,17154793,12744386,571764,8108012,31021243,3417500,596372,21727790,2017,Houston Texans,4,99775402,167000000,13806954,43246048
20244649,29398163,18340377,4498700,8681496,37848369,2003166,3867482,15653819,2018,Houston Texans,11,140536221,177200000,15491141,16190563
12837391,19378072,20351450,8524545,4506353,21936700,6857000,2321837,12534675,2013,Indianapolis Colts,11,109728023,123000000,10847687,7667361
17392214,14172593,12382125,9779454,2970943,23173450,5770000,2787639,12201162,2014,Indianapolis Colts,11,100629580,133000000,5902931,8194493
